PIBE,IDH,IDE,IDE_MUJERES,IDH_MUJERES,Krugman
223043.18,0.796,0.719,0.725,0.78,0.363218554
576310.26,0.809,0.762,0.772,0.795,0.530623021
157812.61,0.804,0.775,0.784,0.788,0.879438667
517911.72,0.769,0.706,0.704,0.75,0.9048295
260493.11,0.696,0.601,0.585,0.671,0.731124645
573579.26,0.784,0.737,0.747,0.767,0.779871954
3139561.49,0.837,0.851,0.853,0.818,1.197541623
605800.72,0.797,0.74,0.735,0.777,0.732392746
109495.54,0.788,0.72,0.729,0.773,0.357965966
204698.84,0.769,0.703,0.716,0.754,0.725334194
706015.9,0.756,0.66,0.666,0.74,0.888498091
240560.43,0.714,0.644,0.644,0.694,0.720114213
271360.23,0.758,0.701,0.704,0.74,0.367638199
1216771.3,0.788,0.714,0.716,0.77,0.440099725
1578335.33,0.784,0.744,0.747,0.765,0.845948331
424021.33,0.744,0.642,0.649,0.728,0.369504689
200326.12,0.776,0.716,0.722,0.76,0.909509919
120634.02,0.776,0.735,0.753,0.762,0.290461785
1377525.88,0.807,0.758,0.755,0.787,0.932861337
252285.33,0.708,0.627,0.625,0.689,0.321106987
599131.75,0.741,0.676,0.677,0.722,0.694187462
403905.22,0.787,0.733,0.729,0.767,0.91479144
290340.69,0.78,0.734,0.736,0.762,0.706323593
369792.96,0.76,0.689,0.698,0.744,0.674082313
399403.45,0.803,0.762,0.772,0.788,0.859429715
579933.06,0.802,0.774,0.785,0.786,0.774419383
448555.29,0.772,0.719,0.719,0.754,0.695164281
518448.03,0.791,0.736,0.74,0.774,0.262919428
104653.26,0.77,0.713,0.719,0.754,0.499425701
802757.91,0.743,0.671,0.668,0.723,0.351035624
264718.21,0.772,0.708,0.703,0.752,0.240040721
152491.72,0.764,0.678,0.694,0.751,0.343675721
