"","SECTOR 11","SECTOR 21","SECTOR 22","SECTOR 23","SECTOR 31-33","SECTOR 43","SECTOR 46","SECTOR 48-49","SECTOR 51","SECTOR 52","SECTOR 53","SECTOR 54","SECTOR 55","SECTOR 56","SECTOR 61","SECTOR 62","SECTOR 71","SECTOR 72","SECTOR 81"
"AGUASCALIENTES",0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0
"BAJA CALIFORNIA",0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1
"BAJA CALIFORNIA SUR",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAMPECHE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHIAPAS",0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
"CHIHUAHUA",0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1
"CIUDAD DE MEXICO",0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1
"COAHUILA",0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1
"COLIMA",0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0
"DURANGO",0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
"GUANAJUATO",0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"GUERRERO",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"HIDALGO",0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1
"JALISCO",0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"MEXICO",0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1
"MICHOACAN",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1
"MORELOS",0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1
"NAYARIT",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"NUEVO LEON",0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0
"OAXACA",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"PUEBLA",0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0
"QUERETARO",0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0
"QUINTANA ROO",0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1
"SAN LUIS POTOSI",0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,1
"SINALOA",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SONORA",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"TABASCO",1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
"TAMAULIPAS",0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1
"TLAXCALA",0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1
"VERACRUZ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
"YUCATAN",0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1
"ZACATECAS",0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0
